educations-end_date,educations-field_of_study,educations-school-name,positions-is-current,num-connections,industry-specialization
31/12/1991,10,POLYTECHNIC UNIVERSITY OF THE PHILIPPINES,0,8,8
31/12/2014,16,MINDANAO STATE UNIVERSITY,0,36,12
31/12/2007,16,XAVIER UNIVERSITY (PH),0,0,16
31/12/2008,0,PHILIPPINE SCHOOL OF BUSINESS ADMINISTRATION,1,1,0
31/12/2012,1,UNIVERSITY OF SANTO TOMAS,0,3,10
31/12/2009,16,PHOENIX ONE KNOWLEDGE INSTITUTE,0,96,4
31/12/2006,6,UNIVERSITY OF SAINT LOUIS,0,200,4
31/12/2014,4,STI COLLEGE,1,0,4
31/12/2008,4,MAPUA INSTITUTE OF TECHNOLOGY,0,1,4
31/12/2010,5,DE LA SALLE UNIVERSITY,0,203,1
31/12/1996,5,BICOL UNIVERSITY,0,0,16
31/12/2009,0,LYCEUM OF THE PHILIPPINES UNIVERSITY-BATANGAS CITY,0,12,16
31/12/2011,16,ATENEO DE DAVAO UNIVERSITY,0,65,16
31/12/2007,0,HOLY NAME UNIVERSITY,0,97,8
31/12/2008,16,COLLEGE,0,1,7
31/12/2000,6,SAINT PAUL UNIVERSITY PHILIPPINES,1,0,4
31/12/2008,6,UNIVERSITY OF SAN CARLOS,0,17,16
31/12/2009,0,UNIVERSITY OF CALOOCAN CITY,0,1,0
31/12/2008,16,ATENEO DE MANILA UNIVERSITY,1,0,0
31/12/2011,10,UNIVERSITY OF ASIA AND THE PACIFIC,1,25,10
31/12/2011,4,UNIVERSITY OF NUEVA CACERES,0,14,4
31/12/2006,6,UNIVERSITY OF NEGROS OCCIDENTAL - RECOLETOS,0,2,16
31/12/2011,16,CENTRAL PHILIPPINE UNIVERSITY,0,2,0
31/12/2011,16,ATENEO DE DAVAO UNIVERSITY,0,500+,16
31/12/2003,0,DE LA SALLE UNIVERSITY,0,141,4
31/12/2008,16,UNIVERSITY OF SAN CARLOS,0,0,16
31/12/2013,16,DE LA SALLE-COLLEGE OF SAINT BENILDE,0,196,4
31/12/2011,16,TALISAY CITY COLLEGE,0,0,16
31/12/2009,4,UNIVERSITY OF CEBU,1,53,4
31/12/2009,10,BACOLOD CITY COLLEGE,1,1,16
31/12/1972,16,UNIVERSITY OF SAN CARLOS,0,3,1
31/12/2006,16,UNIVERSITY OF THE PHILIPPINES,0,106,16
31/12/2003,16,SAINT FERDINAND COLLEGE - ILAGAN,0,9,16
31/12/2010,2,UNIVERSITY OF SANTO TOMAS,0,3,2
31/12/2006,4,ABE INTERNATIONAL COLLEGE,1,10,4
31/12/2011,7,UNIVERSITY OF THE EAST RAMON MAGSAYSAY MEMORIAL MEDICAL CENTER,0,3,7
